,start Length,Time,Branches,Unit clauses removed,Pure clauses removed
0,6,0.002991914749145508,0,454,0
1,6,0.0030214786529541016,0,454,0
2,6,0.003991127014160156,0,454,0
3,6,0.003989458084106445,0,454,0
4,6,0.003050088882446289,0,454,0
5,6,0.003988981246948242,0,454,0
6,4,0.0029354095458984375,0,452,0
7,4,0.002992391586303711,0,452,0
8,4,0.004018068313598633,0,452,0
9,4,0.0039882659912109375,0,452,0
10,6,0.003960847854614258,0,454,0
11,6,0.003989696502685547,0,454,0
12,4,0.0039920806884765625,0,452,0
13,6,0.003989696502685547,0,454,0
14,6,0.003988027572631836,0,454,0
15,4,0.004021883010864258,0,452,0
16,4,0.003999233245849609,0,452,0
17,4,0.003962278366088867,0,452,0
18,4,0.0029935836791992188,0,452,0
19,6,0.002992391586303711,0,454,0
